"","x"
"1","Archaeological and Historical Investigations at Rancho de las Cabras, 41WN30, Wilson County, Texas: Fourth Season; Archaeological Testing at Rancho de las Cabras, 41WN30, Wilson County, Texas. Second Season; Archaeological Testing at Rancho de las Cabras Wilson County, Texas Third Season; Archaeological Testing at Rancho de las Cabras, 41WN30, Wilson County, Texas, Second Season; Archaeological Testing at Rancho de las Cabras, Wilson County, Texas, Third Season; Archaeological Survey and Testing at Rancho De Las Cabras, 41 WN 30, Wilson County, Texas, Fifth Season; Archaeological Survey at Rancho de las Cabras, San Antonio Missions National Historic Park, 41WN30, Wilson County, Texas; Archaeological and Historical Investigations at Rancho de las Cabras, 41WN30, Wilson County, Texas: Fourth Season"
"2","Mission San Jose Indian Quarters Wall Base Project, Bexar County, Texas: With Appendixes on the Monitoring of the San Jose Bus Drive and Granary Parking Lot, and on the Monitoring and Shovel... ; Investigations of the Southeast Gateway at Mission San Jose, Bexar County, Texas; Archaeological Investigations at Four San Antonio Missions: Mission Trails Underground Conversion Project; Archaeological Investigations within the Church Sacristy at Mission San Jose (41BX3), San Antonio, Bexar County, Texas; Archaeological Investigations of Rainwater Catchment Basins along the South Wall of Mission San Jose, San Antonio, Texas; Mission San Jose Repointing and Underpinning Project, San Antonio, Texas; San Antonio Mission Trails Statewide Transportation Enhancement Project Volume II Construction Packages 2 and 3: Archaeological Testing and Monitoring Construction of the Mission Trails Hike..."
"3","Archaeological Investigations in the Courtyard of Mission Nuestra Señora de la Purisima Concepción Acuña (41BX12); Archaeological Investigations at Mission Concepción and Mission Parkway; Archaeological Investigations at Mission Concepcion, Fall of 1986; Archaeological Investigations at Four San Antonio Missions: Mission Trails Underground Conversion Project; Archaeological Testing in the Mission Concepción Courtyard (41BX12), San Antonio, Texas; Test Excavations at Mission Concepcion Courtyard, San Antonio, Bexar County, Texas; Archaeological Investigations at Mission Concepción and Mission Parkway"
"4","Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain; Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits; The Cayo del Oso Site (41NU2) Volume II Results of Archeological Monitoring of Spur 3, Corpus Christi, Nueces County, Texas 2000-2007; The Cayo del Oso Site (41NU2) Volume I A Historical Summary of Explorations of a Prehistoric Cemetery on the Coast of False Oso Bay, Nueces County, Texas"
"5","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits; Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain; Archaeological Testing in the Devine Road Area North of Olmos Dam, San Antonio, Texas; Archaeological Investigations at 41BX1, Bexar County, Texas"
"6","Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain; Excavations at San Juan Capistrano, 41BX5, Bexar County, Texas; Archeological Testing Associated with theStabilization of the Convento at Mission San Juan Capistrano (41BX5), San Antonio, Bexar County, Texas; Archaeological Investigations at Four San Antonio Missions: Mission Trails Underground Conversion Project"
"7","San Antonio Mission Trails Statewide Transportation Enhancement Project Volume I; Archaeological Investigations at Four San Antonio Missions: Mission Trails Underground Conversion Project; Archaeological Testing of the New Plaza at Mission San Francisco de la  Espada (41BX4), San Antonio, Texas; Archaeological Excavation of the Priest Quarters, Mission San Francisco de la Espada, 41BX4, San Antonio, Texas; Archaeological Monitoring of an Electrical Conduit Trench at Mission San Francisco de la Espada (41BX4), San Antonio, Bexar County, Texas"
"8","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado; A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design; Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region; The Neolithic Demographic Transition in the U.S. Southwest"
"9","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado; A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design; Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region; The Neolithic Demographic Transition in the U.S. Southwest"
"10","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design; Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado; The Neolithic Demographic Transition in the U.S. Southwest; Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
