WORD,WORD TYPE,LOCATION
Acequia,Location,"Bexar County, Texas"
Acuña,Location,"Bexar County, Texas"
African,Non-indigenous people,"Brazoria County, Texas"
Alamo,Location,"Bexar County, Texas"
Alazan,Location,"Bexar County, Texas"
Alto,Location,"San Juan County, New Mexico"
Angleton,Location,"Brazoria County, Texas"
Antonio,Location,"Bexar County, Texas"
Apalachee,Location,"Jefferson County, Florida"
Aransas,Location,"Aransas County, Texas"
Archaic,Archaeological term,"Hays County, Texas"
Archaic,Archaeological term,"Hancock County, Mississippi"
Archaic,Archaeological term,"Webb County, Texas"
Archaic,Archaeological term,"Sangamon County, Illinois"
Archaic,Archaeological term,"Greene County, Illinois"
Archaic,Archaeological term,"Wayne County, Utah"
Archaic,Archaeological term,"Williamson County, Texas"
Archaic,Archaeological term,"Comal County, Texas"
Archaic,Archaeological term,"Young County, Texas"
Archaic,Archaeological term,"Kerr County, Texas"
Archaic,Archaeological term,"Maverick County, Texas"
Archaic,Archaeological term,"New Madrid County, Missouri"
Archaic,Archaeological term,"Marion County, Missouri"
Archaic,Archaeological term,"Warren County, Mississippi"
Archaic,Archaeological term,"Lincoln Parish, Louisiana"
Archaic,Archaeological term,"Humpherys County, Mississippi"
Archaic,Archaeological term,"Carroll County, Mississippi"
Archaic,Archaeological term,"Leavenworth County, Kansas"
Archaic,Archaeological term,"Comanche County, Oklahoma"
Archaic,Archaeological term,"Greene County, Missouri"
Archaic,Archaeological term,"Mitchell County, Kansas"
Archaic,Archaeological term,"Taney County, Missouri"
Archaic,Archaeological term,"Cheyenne County, Nebraska"
Archaic,Archaeological term,"Douglas County, Kansas"
Archaic,Archaeological term,"Stanton County, Kansas"
Archaic,Archaeological term,"Jewell County, Kansas"
Archaic,Archaeological term,"Natrona County, Wyoming"
Archaic,Archaeological term,"Eagle County, Colorado"
Archaic,Archaeological term,"Larimer County, Colorado"
Archaic,Archaeological term,"Crook County, Wyoming"
Archaic,Archaeological term,"Lincoln County, Nevada"
Archaic,Archaeological term,"Grand County, Utah"
Arocha,Location,"Bexar County, Texas"
Aztalan,Location,"Mason County, Illinois"
Aztalan,Location,"Jefferson County, Wisconsin"
Balcones,Location,"Hays County, Texas"
Cabras,Location,"Wilson County, Texas"
Caddo,Indigenous term,"Camp County, Texas"
Caddo,Indigenous term,"Smith County, Texas"
Caddo,Indigenous term,"Anderson County, Texas"
Caddo,Indigenous term,"Cherokee County, Texas"
Caddo,Indigenous term,"Harrison County, Texas"
Caddo,Indigenous term,"Rusk County, Texas"
Caddo,Indigenous term,"Henderson County, Texas"
Caddo,Indigenous term,"Lamar County, Texas"
Caddo,Indigenous term,"Delta County, Texas"
Caddo,Indigenous term,"Cass County, Texas"
Caddo,Indigenous term,"San Augustine County, Texas"
Caddo,Indigenous term,"Red River County, Texas"
Caddo,Indigenous term,"Nacogdoches County, Texas"
Caddo,Indigenous term,"Upshur County, Texas"
Caddo,Indigenous term,"Franklin County, Texas"
Caddo,Indigenous term,"Titus County, Texas"
Caddo,Indigenous term,"Wood County, Texas"
Caddo,Indigenous term,"Panola County, Texas"
Caddo,Indigenous term,"Rains County, Texas"
Caddo,Indigenous term,"McClain County, Oklahoma"
Caddo,Indigenous term,"Little River, Arkansas"
Caddo,Indigenous term,"Sequoyah County, Oklahoma"
Caddo,Indigenous term,"Freestone County, Texas"
Caddo,Indigenous term,"McIntosh County, Oklahoma"
Caddo,Indigenous term,"Le Flore County, Oklahoma"
Caddo,Indigenous term,"Hot Spring County, Arkansas"
Caddo,Indigenous term,"Haskell County, Oklahoma"
Caddo,Indigenous term,"Latimer County, Oklahoma"
Caddo,Indigenous term,"Hopkins County, Texas"
Caddo,Indigenous term,"Hempstead County, Arkansas"
Caddo,Indigenous term,"Creek County, OKlahoma"
Caddo,Indigenous term,"Sevier County, Texas"
Caddo,Indigenous term,"Miller County, Arkansas"
Canyon,Location,"Montezuma County, Colorado"
Canyon,Location,"Bexar County, Texas"
Canyon,Location,"Live Oak County, Texas"
