"","ref_words","Freq"
"1","",2
"2",";",1
"3","""Meaning""",1
"4","(1996–1998)",1
"5","(3000-2500",5
"6","(35lk1529),",8
"7","(41AN38)",2
"8","(41AS79),",1
"9","(41BO202)",1
"10","(41BO202),",1
"11","(41BP200),",1
"12","(41BX12),",1
"13","(41BX12);",1
"14","(41BX1271),",2
"15","(41BX1409),",1
"16","(41BX1421):",2
"17","(41BX1600)",1
"18","(41BX19)",1
"19","(41BX19),",2
"20","(41BX267),",1
"21","(41BX278),",1
"22","(41BX3),",1
"23","(41BX326)",1
"24","(41BX337)",3
"25","(41BX342)",1
"26","(41BX342);",1
"27","(41BX369)",1
"28","(41BX4),",2
"29","(41BX441),",1
"30","(41BX5),",1
"31","(41BX507),",1
"32","(41BX52),",1
"33","(41BX6)",1
"34","(41BX620)",1
"35","(41BX622),",1
"36","(41BX63)",1
"37","(41BX677):",1
"38","(41BX786),",1
"39","(41BX795),",1
"40","(41BX8)",1
"41","(41BX8),",1
"42","(41CM111)",1
"43","(41CP20),",3
"44","(41CP21)",3
"45","(41CP220),",3
"46","(41CV1378)",1
"47","(41CW104)",1
"48","(41DL436)",1
"49","(41FB334):",1
"50","(41GD1),",1
"51","(41GD30A):",2
"52","(41GL52)",1
"53","(41HR39)",1
"54","(41HR976),",1
"55","(41HS915)",1
"56","(41HY160)",1
"57","(41JW8),",1
"58","(41KA26-B)",1
"59","(41KR621):",1
"60","(41MM341),",1
"61","(41MM382)",1
"62","(41MN23),",2
"63","(41MS69)",1
"64","(41MV372)",1
"65","(41NU2)",2
"66","(41PN175),",1
"67","(41RB112):",2
"68","(41RF1),",1
"69","(41RK214),",23
"70","(41TV163)",1
"71","(41TV632,",6
"72","(41WB556),",1
"73","(41YN452):",2
"74","(IH)",2
"75","(Jester",1
"76","(NRHP)",1
"77","(Phase",4
"78","(Texas)",1
"79","(The",1
"80","(USA),",1
"81","#1)",1
"82","=",4
"83","0.5",1
"84","1",12
"85","1,000",31
"86","1;",7
"87","10-acre",1
"88","10,",2
"89","10th",1
"90","117-acre",1
"91","1200-1600",1
"92","1464,",1
"93","¹⁴c",1
"94","153",1
"95","158",1
"96","16",2
"97","1604,",1
"98","18",36
"99","1880-1916,",1
"100","1975",1
"101","1979.",2
"102","1983",1
"103","1984",13
"104","1986;",1
"105","1992",1
"106","1993",1
"107","2",10
"108","2;",12
"109","2.4",1
"110","2000-2007;",1
"111","2003",2
"112","2003;",1
"113","201",3
"114","206",2
"115","211",1
"116","216",1
"117","23",23
"118","259:",1
"119","2790",1
"120","294",1
"121","3",2
"122","3,",1
"123","3,000",5
"124","3:",3
"125","30",1
"126","30,",1
"127","3359",2
"128","3367",1
"129","349",1
"130","35",1
"131","37",2
"132","375",7
"133","41",3
"134","410",10
"135","41BL1214,",1
"136","41BL260",1
"137","41BL278,",1
"138","41BL301",1
"139","41BO184,",1
"140","41BO185",1
"141","41BP19,",1
"142","41BP314:",1
"143","41BP678,",1
"144","41BP679,",1
"145","41BT427,",1
"146","41BU16",1
"147","41BU24",1
"148","41BU49",1
"149","41BU51,",1
"150","41BU75,",1
"151","41BX1,",1
"152","41BX1131",1
"153","41BX1199,",2
"154","41BX126,",1
"155","41BX1271,",1
"156","41BX1412",1
"157","41BX1576",1
"158","41BX1598",1
"159","41BX17/271,",1
"160","41BX171:",1
"161","41BX1749,",1
"162","41BX1764",1
"163","41BX1788",1
"164","41BX180,",1
"165","41BX19,",1
"166","41BX1968,",1
"167","41BX22",1
"168","41BX235,",1
"169","41BX237",1
"170","41BX266,",1
"171","41BX300,",1
"172","41BX323",1
"173","41BX333",1
"174","41BX4,",1
"175","41BX5,",1
"176","41BX502",1
"177","41BX518",1
"178","41BX679",1
"179","41BX68:",1
"180","41BX785",1
"181","41BX794,",1
"182","41BX901,",3
"183","41CC233",1
"184","41CD56",1
"185","41CI30",1
"186","41CJ75",2
"187","41CJ76",2
"188","41CK178",1
"189","41CK193:",1
"190","41CP228",2
"191","41CP229",2
"192","41CV1310,",1
"193","41CV1636,",1
"194","41CW25",1
"195","41DW269",1
"196","41DW277,",1
"197","41EP880",1
"198","41FB191",1
"199","41FY11:",2
"200","41FY141,",4
"201","41FY151,",4
"202","41FY152,",4
"203","41FY153",4
"204","41FY421,",3
"205","41FY422,",3
"206","41FY424",3
"207","41FY58,",1
"208","41GD113",2
"209","41GD114",2
"210","41GM23",2
"211","41HE257,",1
"212","41HK28",2
"213","41HM46,",1
"214","41HM61,",1
"215","41HR564",1
"216","41HS11",1
"217","41HY147,",1
"218","41HY160,",1
"219","41HY161:",1
"220","41HY165,",1
"221","41HY37",1
"222","41JS102",1
"223","41JW8:",1
"224","41KA25",1
"225","41KA87",1
"226","41KE93",1
"227","41KF118",1
"228","41KM225,",1
"229","41KM3",1
"230","41KM69,",1
"231","41KR210",2
"232","41KR243,",1
"233","41KT32",1
"234","41LE326",1
"235","41LK201",1
"236","41LK202",2
"237","41LK269",1
"238","41LK31/32",2
"239","41LK67",1
"240","41LR92",1
"241","41LT307,",1
"242","41ME29",1
"243","41MI96",1
"244","41MK10",2
"245","41MK27,",2
"246","41MK28",2
"247","41MK29",2
"248","41MM340",2
"249","41MM341,",2
"250","41MS32,",1
"251","41MV120:",1
"252","41MV57:",1
"253","41MX23",1
"254","41MX5",1
"255","41NL20",1
"256","41PC476",1
"257","41PK69",1
"258","41PN3",2
"259","41PN4",2
"260","41PR44,",1
"261","41PS109",1
"262","41RB31",2
"263","41RK195,",1
"264","41RT128",2
"265","41RT362",1
"266","41SM203,",1
"267","41SM231",1
"268","41SM385",2
"269","41SS164,",1
"270","41SV153,",1
"271","41TG114,",3
"272","41TG115,",3
"273","41TG116",3
"274","41TR170,",1
"275","41TT87",1
"276","41TV338",3
"277","41TV386",2
"278","41TV410",2
"279","41TV540",2
"280","41TV633,",6
"281","41TV634",6
"282","41TV635)",6
"283","41TV875",2
"284","41TV875,",1
"285","41UR36",1
"286","41VV801",1
"287","41WA47",5
"288","41WB414",2
"289","41WB437",2
"290","41WB438",2
"291","41WH85",1
"292","41WL19",1
"293","41WM1157,",1
"294","41WM13",1
"295","41WM443",2
"296","41WM461",1
"297","41WM543",1
"298","41WN104",1
"299","41WN30,",9
"300","41YN2",1
"301","41ZV202,",1
"302","44",1
"303","481,",1
"304","48HY163,",1
"305","56",2
"306","67,",2
"307","71,",2
"308","734,",1
"309","7657,",1
"310","81:",1
"311","90",3
"312","95",1
"313","a",70
"314","A",150
"315","A,",1
"316","Abstein",1
"317","Academy",2
"318","Academy,",2
"319","Accelerator",8
"320","Accumulation,",15
"321","Acequia",8
"322","Acequia,",1
"323","Acres",4
"324","Activity",3
"325","Acuña",1
"326","Adaptive",8
"327","Additional",2
"328","Advance",1
"329","Affected",1
"330","African",1
"331","After",1
"332","Ages",2
"333","Aggregate",15
"334","Air",4
"335","Alamo",4
"336","Alazan",1
"337","along",14
"338","Along",22
"339","Alternate",1
"340","Alto;",2
"341","America",1
"342","America:",89
"343","American",46
"344","among",8
"345","an",28
"346","An",178
"347","Analysis",39
"348","Ancient",3
"349","and",676
"350","Angleton",1
"351","Anomalies...",1
"352","Antiquity",1
"353","Antonio",34
"354","Antonio,",99
"355","Apalachee",1
"356","Appear",4
"357","Appendixes",1
"358","Application",112
"359","Applications",9
"360","Approach",1
"361","Aquatic",2
"362","Aransas",1
"363","Archaeological",518
"364","Archaeological,",2
"365","Archaeology",37
"366","Archaeology;",1
"367","Archaeology:",2
"368","Archaic",35
"369","Archeaological",1
"370","Archeological",46
"371","Archetype",4
"372","Architecture:",9
"373","Archival",13
"374","Area",10
"375","Area,",4
"376","Areas",4
"377","Areas,",2
"378","Army",11
"379","Arocha",1
"380","Arsenal",1
"381","Artcraft",1
"382","Artifact,",3
"383","as",18
"384","As",6
"385","Assemblage",45
"386","Assessment",11
"387","Assessment,",1
"388","Assessments",1
"389","Associated",3
"390","at",262
"391","At",1
"392","Atlantic",1
"393","Authority",1
"394","Avenue",8
"395","Avenue,",1
"396","Avenue;",1
"397","Aviation",1
"398","Aztalan,",2
"399","B.",6
"400","B.P.)",5
"401","Babcock",3
"402","Background",7
"403","Backhoe",3
"404","Baker",1
"405","Balcones",1
"406","Bandera",6
"407","Banks",2
"408","Barrett",1
"409","Barton",3
"410","Base",4
"411","Base,",4
"412","Basin",16
"413","Basin,",5
"414","Basins",1
"415","Basketry",2
"416","Bastrop",39
"417","Bastrop,",2
"418","Battle",1
"419","Bay",1
"420","Bay,",2
"421","Bayesian",67
"422","be",1
"423","Bear's",4
"424","Bearing",8
"425","Becerra",1
"426","Bell",4
"427","Belt,",2
"428","Bench",1
"429","Bend",2
"430","Bender",1
"431","Berger",2
"432","between",1
"433","Between",90
"434","Bexar",150
"435","Beyond",5
